Word,PoS,N_senses,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc,Concreteness_M,RT_correct_mean,RT_correct_std,Rank_L2,Rank_L1,Diff_L1_L2,Word_length,Phonetics_length,N_syllables,N_morphemes,N_suffixes,Prefix_length,Suffix_length,Prefix_famsize,Suffix_famsize,Root_famsize,Level
blood,noun,6,2,5,2,0,61348302,9460,185.4901961,4549,119.2967,3777,0.42,1981,63.9482,1910,3079,87.431,2641,0.2614,4.86,936.0316742,520.6181849,1209,3,1206,5,7,1,1,0,0,0,0,0,23,a2
blow,noun,28,6,7,6,0,31344495,846,16.58823529,1164,30.5257,1108,0.1232,1727,55.7489,1692,1010,28.6799,989,0.0979,3.74,998.764977,705.3714644,1238,7614,-6376,4,8,1,1,0,0,0,0,0,19,b2
blow,verb,28,7,21,7,1,31344495,4137,81.11764706,1164,30.5257,1108,0.1232,1727,55.7489,1692,1010,28.6799,989,0.0979,3.74,998.764977,705.3714644,1238,7614,-6376,4,8,1,1,0,0,0,0,0,19,a2
blue,adjective,16,7,0,0,0,126160941,4909,96.25490196,5986,156.9818,5244,0.5831,4187,135.1596,4055,3928,111.5391,3606,0.3569,3.76,896.6129032,497.3571984,1232,6423,-5191,4,7,1,1,0,0,0,0,0,18,a1
blue,noun,16,4,7,2,0,126160941,224,4.392156863,5986,156.9818,5244,0.5831,4187,135.1596,4055,3928,111.5391,3606,0.3569,3.76,896.6129032,497.3571984,1232,6423,-5191,4,7,1,1,0,0,0,0,0,18,a1
board,noun,13,7,9,9,0,212361059,2372,46.50980392,3772,98.92,3308,0.3678,2906,93.8079,2855,14781,419.7199,12719,1.259,4.57,956.1042654,428.0080423,2288,2263,25,5,7,1,1,0,0,0,0,0,57,a2
board,verb,13,2,4,2,1,212361059,219,4.294117647,3772,98.92,3308,0.3678,2906,93.8079,2855,14781,419.7199,12719,1.259,4.57,956.1042654,428.0080423,2288,2263,25,5,7,1,1,0,0,0,0,0,57,b1
boast,verb,3,2,2,1,0,1239080,39,0.764705882,166,4.3533,162,0.018,36,1.1621,36,163,4.6285,163,0.0161,2.32,1117.047619,633.5195448,20963,4652,16311,5,9,1,1,0,0,0,0,0,5,c1
boat,noun,3,1,2,2,0,34104031,4885,95.78431373,1575,41.3041,1285,0.1429,1003,32.3776,962,1435,40.7481,1274,0.1261,4.93,997.0729614,744.8639073,3374,5243,-1869,4,8,1,1,0,0,0,0,0,26,a1
body,noun,10,5,11,6,0,136560842,9946,195.0196078,9681,253.8825,8212,0.9132,4782,154.3667,4609,5153,146.3241,4800,0.4751,4.79,859.7688679,504.2085144,384,122,262,4,7,2,1,0,0,0,0,0,18,a1
boil,verb,7,2,5,5,1,2422265,226,4.431372549,1109,29.0833,994,0.1105,115,3.7123,114,462,13.1189,429,0.0425,4.2,1062.75,662.3721237,7023,10409,-3386,4,8,1,1,0,0,0,0,0,6,a2
bold,adjective,4,1,0,0,1,18244416,375,7.352941176,933,24.4678,852,0.0947,441,14.2358,429,731,20.7574,714,0.0707,2.43,1051.35102,671.9096709,5366,3148,2218,4,9,1,1,0,0,0,0,0,8,b2
bomb,noun,5,2,3,1,0,10028218,2428,47.60784314,600,15.7349,547,0.0608,1123,36.2513,1098,848,24.0797,784,0.0776,4.84,925.5242291,487.6994242,2092,8955,-6863,4,6,1,1,0,0,0,0,0,6,b1
bomb,verb,5,2,1,1,1,10028218,301,5.901960784,600,15.7349,547,0.0608,1123,36.2513,1098,848,24.0797,784,0.0776,4.84,925.5242291,487.6994242,2092,8955,-6863,4,6,1,1,0,0,0,0,0,6,b1
bond,noun,15,10,8,5,0,23448169,515,10.09803922,998,26.1724,821,0.0913,400,12.9123,382,2301,65.339,2146,0.2124,3.62,990.1588785,499.3139077,8812,14749,-5937,4,7,1,1,0,0,0,0,0,4,b2
bone,noun,6,3,3,1,0,17581312,1288,25.25490196,903,23.681,796,0.0885,534,17.2379,509,814,23.1143,735,0.0728,4.9,929.8224299,517.4139073,2761,7591,-4830,4,8,1,1,0,0,0,0,0,27,a2
bonus,noun,2,2,2,1,0,27819488,466,9.137254902,1022,26.8018,971,0.108,577,18.626,566,752,21.3537,711,0.0704,3.04,930.5232068,623.9948362,1529,2306,-777,5,10,2,1,0,0,0,0,0,1,c1
book,noun,15,7,10,7,0,330959949,8749,171.5490196,27862,730.6761,20600,2.2907,11968,386.3363,11425,6394,181.5634,5732,0.5674,4.9,831.3614458,429.5680664,539,3577,-3038,4,6,1,1,0,0,0,0,0,53,a1
book,verb,15,1,4,2,0,330959949,246,4.823529412,27862,730.6761,20600,2.2907,11968,386.3363,11425,6394,181.5634,5732,0.5674,4.9,831.3614458,429.5680664,539,3577,-3038,4,6,1,1,0,0,0,0,0,53,a2
booking,noun,2,2,2,1,0,23522206,74,1.450980392,221,5.7957,210,0.0234,562,18.1418,549,305,8.6608,294,0.0291,3,979.3667954,609.5989346,2654,2994,-340,7,8,2,1,0,0,0,0,0,53,b2
boom,noun,10,3,5,0,0,7869145,1096,21.49019608,409,10.726,367,0.0408,1033,33.346,883,636,18.0598,600,0.0594,3.66,1075.17316,713.6200215,5647,3026,2621,4,7,1,1,0,0,0,0,0,1,c1
boost,noun,8,2,3,1,0,13675076,120,2.352941176,550,14.4237,523,0.0582,381,12.299,378,1665,47.2792,1654,0.1637,2.89,983.9295775,542.1607101,5299,3035,2264,5,8,1,1,0,0,0,0,0,2,b2
boost,verb,8,3,5,1,0,13675076,109,2.137254902,550,14.4237,523,0.0582,381,12.299,378,1665,47.2792,1654,0.1637,2.89,983.9295775,542.1607101,5299,3035,2264,5,8,1,1,0,0,0,0,0,2,b2
boot,noun,9,3,7,2,0,20824944,382,7.490196078,584,15.3153,531,0.059,544,17.5607,530,326,9.2571,313,0.031,4.96,1076.004367,678.7466293,6060,3779,2281,4,7,1,1,0,0,0,0,0,11,a1
border,noun,10,4,5,4,0,23234399,861,16.88235294,1613,42.3006,1427,0.1587,314,10.1362,299,1956,55.5424,1722,0.1705,4.29,935.2088353,405.007871,3143,1744,1399,6,8,2,1,0,0,0,0,0,4,b1
border,verb,10,5,5,3,0,23234399,13,0.254901961,1613,42.3006,1427,0.1587,314,10.1362,299,1956,55.5424,1722,0.1705,4.29,935.2088353,405.007871,3143,1744,1399,6,8,2,1,0,0,0,0,0,4,b2
boring,adjective,3,1,0,0,0,6590871,1303,25.54901961,1451,38.0522,1379,0.1533,2397,77.377,2354,328,9.3139,311,0.0308,2.07,914.3562232,486.4728943,2507,7603,-5096,6,9,2,1,0,0,0,0,0,9,a1
born,verb,3,13,12,10,0,52452012,4079,79.98039216,4279,112.216,3884,0.4319,2387,77.0542,2330,3060,86.8915,2948,0.2918,3.22,877.8285714,478.7040911,32,1588,-1556,4,7,1,1,0,0,0,0,0,12,a1
borrow,verb,2,1,2,0,1,4137645,1496,29.33333333,361,9.4672,345,0.0384,528,17.0442,524,420,11.9263,410,0.0406,3.1,1014.451852,497.4931016,1719,5359,-3640,6,9,2,1,0,0,0,0,0,2,a2
boss,noun,7,5,6,4,0,14436477,5989,117.4313725,1275,33.4367,1158,0.1288,2059,66.4661,1988,1179,33.4788,1138,0.1126,3.83,919.5022222,551.9969439,317,3698,-3381,4,6,1,1,0,0,0,0,0,6,a2
both,determiner,1,0,0,0,0,228648541,9639,189,20967,549.8559,19104,2.1243,10783,348.0836,10546,20180,573.0294,19188,1.8993,2.97,894.7009804,298.1187382,2373,7599,-5226,4,8,1,1,0,0,0,0,0,1,a1
bother,verb,8,3,6,2,0,5111764,3307,64.84313725,960,25.1758,941,0.1046,755,24.372,749,368,10.4497,366,0.0362,2,1101.504167,641.1569563,3681,1654,2027,6,7,2,1,0,0,0,0,0,3,b1
bottle,noun,5,2,3,2,0,17716382,2519,49.39215686,2713,71.1479,2279,0.2534,1734,55.9749,1694,1245,35.3529,1137,0.1125,4.91,907.1081081,497.0459041,3091,4202,-1111,6,9,2,1,0,0,0,0,0,5,a1
bottom,adjective,12,0,0,0,1,45598411,579,11.35294118,4292,112.5569,3979,0.4425,1447,46.7103,1430,2830,80.3604,2731,0.2703,4.25,977.4334764,631.565963,2506,10361,-7855,6,8,2,1,0,0,0,0,0,2,a2
bottom,noun,12,6,7,3,1,45598411,1924,37.7254902,4292,112.5569,3979,0.4425,1447,46.7103,1430,2830,80.3604,2731,0.2703,4.25,977.4334764,631.565963,2506,10361,-7855,6,8,2,1,0,0,0,0,0,2,a2
bounce,verb,10,2,7,2,1,4383170,376,7.37254902,256,6.7136,240,0.0267,440,14.2035,419,394,11.188,384,0.038,3.86,997.6612903,466.3106363,8943,2644,6299,6,9,1,1,0,0,0,0,0,7,c1
bound,adjective,17,4,0,0,3,22303643,16,0.31372549,989,25.9364,957,0.1064,964,31.1187,956,631,17.9178,622,0.0616,3.43,1012.304167,529.4721331,8308,3856,4452,5,9,1,1,0,0,0,0,0,27,b2
boundary,noun,3,3,3,3,0,12695163,69,1.352941176,195,5.1138,173,0.0192,29,0.9361,28,174,4.9409,165,0.0163,3.04,1027.694175,483.5104243,12067,3975,8092,8,12,3,2,1,0,3,0,356,27,c1
bowl,noun,10,6,9,3,0,22118861,977,19.15686275,3811,99.9428,3166,0.3521,2773,89.5146,2697,4681,132.9212,4162,0.412,4.87,959.8401826,471.763048,4803,1590,3213,4,8,1,1,0,0,0,0,0,4,a2
box,noun,13,5,10,5,0,169231297,4388,86.03921569,5115,134.14,4363,0.4852,2942,94.97,2866,2616,74.2837,2456,0.2431,4.9,866.9469027,417.1373095,308,12283,-11975,3,7,1,1,0,0,0,0,0,27,a1
boy,noun,4,2,4,3,2,58664244,26859,526.6470588,6472,169.7271,5592,0.6218,7083,228.6447,6809,3494,99.2153,3188,0.3156,4.76,801.744186,279.1044166,365,7434,-7069,3,7,1,1,0,0,0,0,0,21,a1
boyfriend,noun,1,1,1,0,0,4849182,3679,72.1372549,1311,34.3807,1192,0.1325,3202,103.363,3142,744,21.1266,705,0.0698,4.59,974.2648402,522.4421861,1687,114,1573,9,12,2,2,0,0,0,0,0,34,a1
brain,noun,7,4,5,3,0,33612784,3887,76.21568627,3509,92.0229,3001,0.3337,2465,79.5721,2396,1783,50.6299,1544,0.1528,4.69,888.5660377,398.5453055,1268,8228,-6960,5,9,1,1,0,0,0,0,0,14,a2
branch,noun,8,4,6,4,0,36712083,477,9.352941176,838,21.9764,750,0.0834,403,13.0092,389,1416,40.2086,1298,0.1285,4.9,1041.640316,642.429572,7386,1759,5627,6,11,1,1,0,0,0,0,0,3,b1
brand,noun,9,5,6,3,0,82807581,357,7,2685,70.4137,2384,0.2651,2585,83.4458,2456,1917,54.435,1805,0.1787,3.29,964.2330508,421.9752649,4496,336,4160,5,8,1,1,0,0,0,0,0,3,b1
brand,verb,9,3,4,0,0,82807581,51,1,2685,70.4137,2384,0.2651,2585,83.4458,2456,1917,54.435,1805,0.1787,3.29,964.2330508,421.9752649,4496,336,4160,5,8,1,1,0,0,0,0,0,3,b1
brave,adjective,6,1,0,0,1,5221356,1497,29.35294118,933,24.4678,893,0.0993,548,17.6899,536,297,8.4336,288,0.0285,2.26,923.4135338,409.8560562,3332,8994,-5662,5,9,1,1,0,0,0,0,0,5,b1
breach,noun,5,1,3,2,0,5928795,274,5.37254902,242,6.3464,222,0.0247,41,1.3235,40,284,8.0644,272,0.0269,2.48,1171.473913,736.8808313,17621,1386,16235,6,10,1,1,0,0,0,0,0,1,c1
breach,verb,5,2,2,1,1,5928795,43,0.843137255,242,6.3464,222,0.0247,41,1.3235,40,284,8.0644,272,0.0269,2.48,1171.473913,736.8808313,17621,1386,16235,6,10,1,1,0,0,0,0,0,1,c1
bread,noun,3,2,2,1,0,13575360,1441,28.25490196,3309,86.7779,2554,0.284,1321,42.6429,1263,1504,42.7074,1303,0.129,4.92,936.7695853,473.0772316,1710,6220,-4510,5,7,1,1,0,0,0,0,0,12,a1
break,noun,73,12,16,10,0,51242970,3763,73.78431373,5508,144.4463,5208,0.5791,7663,247.3676,7516,4004,113.6972,3917,0.3877,3.71,849.9,364.9639014,707,2395,-1688,5,9,1,1,0,0,0,0,0,34,a1
break,verb,73,28,54,18,5,51242970,7500,147.0588235,5508,144.4463,5208,0.5791,7663,247.3676,7516,4004,113.6972,3917,0.3877,3.71,849.9,364.9639014,707,2395,-1688,5,9,1,1,0,0,0,0,0,34,a1
breakdown,noun,4,4,4,3,0,7193446,371,7.274509804,328,8.6017,320,0.0356,188,6.0688,187,330,9.3706,328,0.0325,2.75,1121.050388,664.1594505,2664,8457,-5793,9,14,2,2,0,0,0,0,0,62,c1
breakfast,noun,3,0,1,1,0,35991312,3190,62.54901961,2587,67.8436,2283,0.2539,4027,129.9947,3901,1619,45.973,1475,0.146,4.43,974.7333333,495.6221309,3281,393,2888,9,11,2,2,0,0,0,0,0,46,a1
breakthrough,noun,3,1,3,0,0,3757116,175,3.431372549,155,4.0648,143,0.0159,107,3.454,105,304,8.6324,297,0.0294,1.87,1185.293388,707.6258657,10631,4104,6527,12,13,2,2,0,0,0,0,0,36,c1
breast,noun,6,3,4,1,0,40334099,455,8.921568627,928,24.3366,757,0.0842,485,15.6562,468,1422,40.379,1194,0.1182,4.89,973.9173913,502.6226216,6032,2658,3374,6,8,1,1,0,0,0,0,0,9,b2
breath,noun,5,2,5,2,0,10208731,2231,43.74509804,2075,54.4165,1969,0.219,1183,38.1882,1145,642,18.2302,625,0.0619,4.36,927.5924171,338.4041325,1275,12248,-10973,6,7,1,1,0,0,0,0,0,13,b1
breathe,verb,9,3,8,2,0,3933278,2465,48.33333333,899,23.5761,831,0.0924,916,29.5692,874,312,8.8595,299,0.0296,4.07,1163.199074,860.9610759,6356,9799,-3443,7,8,1,1,0,0,0,0,0,13,b1
breathing,noun,2,1,1,1,0,6778253,557,10.92156863,929,24.3629,852,0.0947,478,15.4302,472,560,15.9017,549,0.0543,4.1,1038.829167,599.8465913,4422,8808,-4386,9,10,2,1,0,0,0,0,0,13,b1
breed,noun,8,1,2,1,0,7716901,174,3.411764706,353,9.2574,316,0.0351,180,5.8105,177,265,7.5249,258,0.0255,2.85,1053.248927,589.0343997,14472,3507,10965,5,8,1,1,0,0,0,0,0,7,c1
breed,verb,8,3,4,2,0,7716901,138,2.705882353,353,9.2574,316,0.0351,180,5.8105,177,265,7.5249,258,0.0255,2.85,1053.248927,589.0343997,14472,3507,10965,5,8,1,1,0,0,0,0,0,7,c1
brick,noun,2,0,2,1,0,8094369,494,9.68627451,592,15.5251,541,0.0602,371,11.9762,354,744,21.1266,697,0.069,4.83,1014.302752,536.9046377,8028,11601,-3573,5,7,1,1,0,0,0,0,0,9,b2
bride,noun,3,1,2,1,0,8650665,1204,23.60784314,767,20.1144,669,0.0744,244,7.8765,240,391,11.1028,319,0.0316,4.63,983.3661972,470.7643732,3783,12854,-9071,5,9,1,1,0,0,0,0,0,5,b1
bridge,noun,12,5,9,4,0,35180146,2249,44.09803922,1673,43.8741,1373,0.1527,907,29.2787,885,3639,103.3327,3044,0.3013,4.97,939.1538462,552.6288629,1306,11273,-9967,6,9,1,1,0,0,0,0,0,11,a2
brief,adjective,6,1,0,0,0,32599674,559,10.96078431,1591,41.7237,1549,0.1722,319,10.2976,313,1348,38.2777,1341,0.1327,2.38,1018.974468,687.8141267,7235,2854,4381,5,8,1,1,0,0,0,0,0,6,b2
briefly,adverb,1,1,0,0,0,6777662,161,3.156862745,723,18.9605,715,0.0795,154,4.9712,154,882,25.0452,874,0.0865,1.9,986.8431373,457.9553885,8819,687,8132,7,10,2,2,1,0,2,0,2898,6,b2
bright,adjective,12,5,0,0,2,19446368,2158,42.31372549,2892,75.8422,2743,0.305,1383,44.6443,1371,1639,46.5409,1594,0.1578,3.92,945.7027027,406.0618301,2652,2733,-81,6,9,1,1,0,0,0,0,0,6,a2
brilliant,adjective,6,5,0,0,0,10302824,1825,35.78431373,1710,44.8444,1654,0.1839,1261,40.7061,1244,634,18.003,628,0.0622,2.07,929.6696035,531.7692386,4643,577,4066,9,11,2,2,1,0,3,0,464,4,a2
bring,verb,10,7,9,3,1,57608074,16677,327,8144,213.575,7742,0.8609,8915,287.7831,8761,6822,193.7169,6653,0.6586,2.55,929.9139344,415.7150377,2836,3266,-430,5,7,1,1,0,0,0,0,0,2,a1
broad,adjective,9,1,0,0,1,21370126,697,13.66666667,751,19.6948,725,0.0806,357,11.5242,353,1289,36.6023,1267,0.1254,2.45,1038.80695,703.3531768,7537,3516,4021,5,8,1,1,0,0,0,0,0,18,b2
broadband,noun,2,0,0,0,0,26476075,7,0.137254902,169,4.432,127,0.0141,102,3.2926,100,192,5.452,169,0.0167,3.04,1232.185366,678.6360057,18880,16936,1944,5,8,1,1,0,0,0,0,0,18,c1
broadcast,noun,5,1,2,2,0,18743293,268,5.254901961,580,15.2104,550,0.0612,606,19.5621,599,856,24.3069,826,0.0818,3.46,1007.201717,481.5155292,4152,858,3294,9,13,2,2,0,0,0,0,0,39,b2
broadcast,verb,5,2,3,2,0,18743293,187,3.666666667,580,15.2104,550,0.0612,606,19.5621,599,856,24.3069,826,0.0818,3.46,1007.201717,481.5155292,4152,858,3294,9,13,2,2,0,0,0,0,0,39,b2
broadly,adverb,1,1,0,0,1,2941435,9,0.176470588,153,4.0124,153,0.017,26,0.8393,25,205,5.8212,205,0.0203,1.68,1208.028689,782.5382274,14947,1924,13023,7,10,2,2,1,0,2,0,2898,18,b2
broken,adjective,13,6,0,0,3,31399439,1382,27.09803922,2795,73.2984,2661,0.2959,2136,68.9517,2089,2117,60.1141,2045,0.2024,4.11,942.2311111,621.2538947,66,2255,-2189,6,11,2,2,1,0,2,0,204,12,a2
brother,noun,5,4,5,3,1,34273892,14452,283.372549,4157,109.0166,3586,0.3988,4444,143.4558,4371,3349,95.0979,3108,0.3076,4.43,922.7953488,459.3116497,812,9405,-8593,7,8,2,1,0,0,0,0,0,6,a1
brown,adjective,7,2,0,0,0,64112042,1144,22.43137255,4680,122.7322,4161,0.4627,3022,97.5525,2951,7141,202.7752,6342,0.6278,4.48,982.2073733,654.078535,2198,8600,-6402,5,9,1,1,0,0,0,0,0,6,a1
brown,noun,7,4,1,1,0,64112042,23,0.450980392,4680,122.7322,4161,0.4627,3022,97.5525,2951,7141,202.7752,6342,0.6278,4.48,982.2073733,654.078535,2198,8600,-6402,5,9,1,1,0,0,0,0,0,6,a1
browser,noun,2,1,2,0,0,64824987,9,0.176470588,205,5.3761,181,0.0201,309,9.9748,299,126,3.5779,107,0.0106,4.26,988.7279152,557.9814623,2010,10263,-8253,5,9,1,1,0,0,0,0,0,6,c1
brush,noun,14,5,9,3,0,10018684,314,6.156862745,1206,31.6271,1062,0.1181,395,12.7509,386,563,15.9869,532,0.0527,4.54,993.6585366,524.6805727,1451,408,1043,5,7,1,1,0,0,0,0,0,14,a2
brush,verb,14,1,6,1,0,10018684,406,7.960784314,1206,31.6271,1062,0.1181,395,12.7509,386,563,15.9869,532,0.0527,4.54,993.6585366,524.6805727,1451,408,1043,5,7,1,1,0,0,0,0,0,14,a2
brutal,adjective,2,3,0,0,0,5675803,376,7.37254902,549,14.3974,546,0.0607,386,12.4604,383,473,13.4313,465,0.046,2,919.1617647,489.2370942,3822,10977,-7155,6,11,2,2,1,0,2,0,1431,8,c1
bubble,noun,7,1,4,1,0,8806043,396,7.764705882,672,17.6231,595,0.0662,508,16.3986,483,501,14.2263,455,0.045,4.6,974.0938628,504.9744633,3872,3376,496,6,9,2,1,0,0,0,0,0,4,b1
buck,noun,9,4,4,2,0,6669472,1678,32.90196078,378,9.913,340,0.0378,442,14.2681,424,589,16.7252,554,0.0548,4.67,1188.72807,716.5786649,22318,9545,12773,4,6,1,1,0,0,0,0,0,11,c1
buddy,noun,1,1,1,1,0,23611087,4360,85.49019608,725,19.013,673,0.0748,2784,89.8697,2729,470,13.3461,436,0.0432,3.48,971.0422535,424.9456825,7834,921,6913,5,7,2,1,0,0,0,0,0,1,c1
budget,noun,3,0,2,2,0,59106421,499,9.784313725,2143,56.1998,1866,0.2075,1352,43.6436,1308,9127,259.1694,8028,0.7947,3.14,885.6396396,348.0955892,5864,3694,2170,6,10,2,1,0,0,0,0,0,2,b2
buffer,noun,8,6,7,1,0,15904074,74,1.450980392,101,2.6487,86,0.0096,47,1.5172,42,93,2.6408,88,0.0087,2.89,1165.79661,944.4035701,11622,12097,-475,6,7,2,1,0,0,0,0,0,1,c1
bug,noun,7,3,5,1,0,39672754,730,14.31372549,688,18.0427,611,0.0679,723,23.339,698,253,7.1842,238,0.0236,5,927.8269231,414.7095356,7650,7899,-249,3,6,1,1,0,0,0,0,0,13,b2
build,verb,12,4,10,1,0,77203075,2354,46.15686275,3125,81.9526,2920,0.3247,2311,74.6009,2239,4388,124.6012,4241,0.4198,3.71,914.8681818,369.2210929,2159,106,2053,5,7,1,1,0,0,0,0,0,13,a1
building,noun,4,3,4,3,0,128251365,4332,84.94117647,5283,138.5457,4646,0.5166,3193,103.0725,3137,10107,286.9974,9290,0.9196,4.64,1031.533058,611.755498,620,587,33,8,9,2,1,0,0,0,0,0,13,a1
bulk,noun,5,2,3,1,1,18029501,81,1.588235294,495,12.9813,473,0.0526,147,4.7453,141,570,16.1857,561,0.0555,3.24,1005.091371,484.5691772,15326,2207,13119,4,7,1,1,0,0,0,0,0,7,c1
bullet,noun,3,3,3,2,0,7440918,1947,38.17647059,456,11.9585,425,0.0473,288,9.2969,276,552,15.6745,523,0.0518,4.83,987.9187817,591.7834369,5254,838,4416,6,8,2,1,0,0,0,0,0,2,b2
bunch,noun,5,3,3,1,0,10355431,2982,58.47058824,2423,63.5427,2357,0.2621,2161,69.7587,2152,981,27.8564,961,0.0951,3.5,1102.600823,629.4088144,12171,2108,10063,5,9,1,1,0,0,0,0,0,2,b2
burden,noun,6,3,4,2,0,9722173,463,9.078431373,639,16.7577,586,0.0652,155,5.0035,148,802,22.7735,787,0.0779,2.63,973.2875,510.1918302,15868,8350,7518,6,9,2,1,0,0,0,0,0,6,c1
bureaucracy,noun,3,1,3,1,0,1620932,25,0.490196078,132,3.4617,119,0.0132,45,1.4526,44,179,5.0829,178,0.0176,1.64,1386.245455,1036.488956,17249,14472,2777,11,15,4,2,0,0,0,0,0,14,c1
burial,noun,2,2,2,1,0,4258160,243,4.764705882,191,5.0089,177,0.0197,40,1.2912,38,232,6.5879,217,0.0215,3.93,1192.614973,809.8770127,24070,4784,19286,6,9,3,2,1,0,2,0,1431,9,c1
burn,noun,20,3,5,3,0,13602754,431,8.450980392,1158,30.3683,1076,0.1197,1314,42.4169,1273,701,19.9055,654,0.0647,4.11,874.720339,356.2163551,2003,7623,-5620,4,7,1,1,0,0,0,0,0,12,b2
burn,verb,20,10,14,6,0,13602754,2382,46.70588235,1158,30.3683,1076,0.1197,1314,42.4169,1273,701,19.9055,654,0.0647,4.11,874.720339,356.2163551,2003,7623,-5620,4,7,1,1,0,0,0,0,0,12,a2
burst,verb,13,6,7,4,1,5147573,326,6.392156863,663,17.3871,639,0.0711,197,6.3593,197,486,13.8004,479,0.0474,3.1,1034.424893,492.152691,11750,11228,522,5,8,1,1,0,0,0,0,0,4,c1
bury,verb,6,4,5,2,1,2938393,1047,20.52941176,238,6.2415,230,0.0256,142,4.5839,141,131,3.7199,130,0.0129,3.82,1186.84689,920.7247749,16545,20050,-3505,4,7,2,1,0,0,0,0,0,9,b1
bus,noun,7,4,4,1,0,41043865,3749,73.50980392,2309,60.5531,1713,0.1905,3574,115.3715,3361,2526,71.7281,2213,0.2191,4.9,900.0368664,429.1583802,1231,10183,-8952,3,6,1,1,0,0,0,0,0,6,a1
bush,noun,9,6,4,3,0,71289039,386,7.568627451,1266,33.2006,1096,0.1219,738,23.8232,708,1710,48.557,1516,0.1501,4.9,1033.911504,552.786743,8108,7647,461,4,6,1,1,0,0,0,0,0,12,b2
business,noun,9,6,9,7,0,637134177,16350,320.5882353,9162,240.2718,7675,0.8535,9065,292.6252,8615,16168,459.105,14881,1.473,3.28,935.7226563,478.2624159,498,3901,-3403,8,9,2,1,0,0,0,0,0,6,a1
businessman,noun,1,1,1,1,0,1765391,403,7.901960784,172,4.5107,157,0.0175,43,1.3881,43,523,14.8511,516,0.0511,4.47,1237.641447,723.652201,446,14660,-14214,11,12,3,2,0,0,0,0,0,217,a2
busy,adjective,6,3,0,0,1,17376500,5078,99.56862745,4838,126.8757,4489,0.4992,5570,179.8039,5199,1480,42.0259,1451,0.1436,2.41,881.9404255,667.4399207,1548,10809,-9261,4,7,2,1,0,0,0,0,0,6,a1
but,conjunction,1,0,0,0,0,999899654,221517,4343.470588,206072,5404.202,165242,18.3748,127837,4126.6771,125384,151349,4297.692,141042,13.9612,2.04,874.8632479,292.878123,263,6498,-6235,3,6,1,1,0,0,0,0,0,1,a1
but,preposition,1,0,0,0,0,999899654,2668,52.31372549,206072,5404.202,165242,18.3748,127837,4126.6771,125384,151349,4297.692,141042,13.9612,2.04,874.8632479,292.878123,263,6498,-6235,3,6,1,1,0,0,0,0,0,1,b2
butter,noun,3,0,2,1,0,9727172,1010,19.80392157,3834,100.546,3193,0.3551,1314,42.4169,1256,1619,45.973,1404,0.139,4.9,939.9121339,545.7177648,1507,38,1469,6,7,2,1,0,0,0,0,0,10,a1
button,noun,9,3,7,2,0,66811153,1285,25.19607843,1850,48.5159,1664,0.185,1538,49.6478,1493,483,13.7152,453,0.0448,4.96,989.7511962,590.6438675,2840,3419,-579,6,8,2,1,0,0,0,0,0,4,a2
buy,verb,6,2,5,2,1,410780176,9722,190.627451,7533,197.5516,6833,0.7598,8558,276.2589,8256,5626,159.7554,5294,0.524,3.35,861.6082949,349.4539901,795,10244,-9449,3,7,1,1,0,0,0,0,0,2,a1
cabin,noun,4,0,3,3,0,8052267,999,19.58823529,511,13.4009,428,0.0476,367,11.847,361,537,15.2486,494,0.0489,4.92,973.5469388,413.275395,3959,2062,1897,5,8,2,1,0,0,0,0,0,1,b2
cabinet,noun,4,2,4,3,0,15989585,423,8.294117647,742,19.4588,656,0.0729,158,5.1004,155,444,12.6078,414,0.041,4.89,1012.253275,674.1140102,6754,3871,2883,7,10,3,1,0,0,0,0,0,2,c1
cable,noun,8,5,6,2,0,70082598,1006,19.7254902,625,16.3905,539,0.0599,795,25.6632,769,1130,32.0874,1011,0.1001,4.74,997.0371901,567.9129319,4010,5929,-1919,5,11,2,1,0,0,0,0,0,2,b2
cake,noun,4,2,3,3,0,16526639,2287,44.84313725,5010,131.3864,3495,0.3886,2904,93.7434,2330,1293,36.7159,1081,0.107,4.81,881.2358491,575.1696976,1748,5380,-3632,4,8,1,1,0,0,0,0,0,12,a1
calculate,verb,6,6,5,3,0,18767840,106,2.078431373,131,3.4355,130,0.0145,51,1.6463,51,153,4.3446,153,0.0151,2.74,994.0699588,629.065435,603,450,153,9,15,3,2,1,0,3,0,937,13,b2
calculation,noun,3,3,3,2,0,9564034,31,0.607843137,101,2.6487,98,0.0109,28,0.9039,28,111,3.1519,108,0.0107,3,975.095057,483.5957503,1767,2950,-1183,11,17,4,3,2,0,6,0,2536,13,c1
call,noun,41,7,13,6,1,199608869,8262,162,10799,283.2019,9889,1.0996,19266,621.9214,18617,12112,343.9312,11620,1.1502,4,893.0878049,496.1072604,860,1720,-860,4,7,1,1,0,0,0,0,0,10,a1
call,verb,41,10,27,8,0,199608869,35593,697.9019608,10799,283.2019,9889,1.0996,19266,621.9214,18617,12112,343.9312,11620,1.1502,4,893.0878049,496.1072604,860,1720,-860,4,7,1,1,0,0,0,0,0,10,a1
