Word,Definition,PoS1,PoS2,PoS3,PoS4,PoS5,PoS6,PoS7,PoS8,PoS9,N_senses,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc,Concreteness_M,RT_correct_mean,RT_correct_std,Rank_L2,Rank_L1,Diff_L1_L2,Word_length,Phonetics_length,N_syllables,N_morphemes,N_suffixes,Prefix_length,Suffix_length,Prefix_famsize,Suffix_famsize,Root_famsize
telegraph,An apparatus or a process for communicating intelligence rapidly between distant points especially by means of preconcerted visible or audible signals representing words or ideas or by means of words and signs transmitted by electrical action.,0,0,0,0,1,0,0,0,0,2,1,1,0,0,4539841,160,3.137254902,213,5.5859,203,0.0226,68,2.1951,67,169,4.7989,162,0.016,4.59,1006.481356,585.3727856,2296,2643,-347,9,12,3,2,0,0,0,0,0,146
seismograph,An apparatus for registering the shocks and undulatory motions of earthquakes.,0,0,0,0,1,0,0,0,0,1,0,1,0,0,74739,3,0.058823529,3,0.0787,3,0.0003,1,0.0323,1,0,0,0,0,4.54,1578.381356,954.5807628,19454,25880,-6426,11,15,3,2,0,0,0,0,0,121
epiphany,An appearance or a becoming manifest.,0,0,0,0,1,0,0,0,0,2,1,2,0,0,1070426,61,1.196078431,175,4.5893,162,0.018,47,1.5172,46,59,1.6754,58,0.0057,1.6,1224.125,582.5256123,23257,17279,5978,8,11,4,1,0,0,0,0,0,1
leviathan,An aquatic animal described in the book of Job ch. xli. and mentioned in other passages of Scripture.,0,0,0,0,1,0,0,0,0,2,0,2,0,0,449307,17,0.333333333,40,1.049,36,0.004,17,0.5488,17,9,0.2556,8,0.0008,3.5,1310.8,747.0104341,30484,33762,-3278,9,14,4,1,0,0,0,0,0,1
aquatic,An aquatic animal or plant.,0,0,0,0,1,0,0,0,0,3,0,1,0,1,6056753,28,0.549019608,49,1.285,44,0.0049,22,0.7102,22,140,3.9754,136,0.0135,3.44,1176.52988,723.9619231,9753,10883,-1130,7,10,3,2,1,0,2,0,1014,13
arachnid,An arachnidan.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,121347,8,0.156862745,8,0.2098,8,0.0009,1,0.0323,1,2,0.0568,2,0.0002,4.65,1441.077381,940.0916632,35126,26853,8273,8,10,3,1,0,0,0,0,0,1
vault,An arched structure of masonry forming a ceiling or canopy.,0,0,0,0,1,0,0,0,0,6,3,4,2,0,5408483,595,11.66666667,124,3.2519,116,0.0129,89,2.873,89,300,8.5188,271,0.0268,4.62,1049.502146,671.6530439,16457,10252,6205,5,7,1,1,0,0,0,0,0,3
bracket,An architectural member plain or ornamental projecting from a wall or pier to support weight falling outside of the same; also a decorative feature seeming to discharge such an office.,0,0,0,0,1,0,0,0,0,7,3,4,2,0,5321561,24,0.470588235,106,2.7798,97,0.0108,451,14.5586,445,282,8.0076,257,0.0254,4.43,1129.646617,610.1188959,11292,1090,10202,7,9,2,1,0,0,0,0,0,1
pinnacle,An architectural member upright and generally ending in a small spire -- used to finish a buttress to constitute a part in a proportion as where pinnacles flank a gable or spire and the like. Pinnacles may be considered primarily as added weight where it is necessary to resist the thrust of an arch etc.,0,0,0,0,1,0,0,0,0,5,1,3,0,0,4335248,21,0.411764706,106,2.7798,101,0.0112,80,2.5825,78,240,6.815,226,0.0224,2.67,1184.253731,664.2911262,25467,11178,14289,8,11,3,1,0,0,0,0,0,1
puffin,An arctic sea bird Fratercula arctica) allied to the auks and having a short thick swollen beak whence the name; -- called also bottle nose cockandy coulterneb marrot mormon pope and sea parrot.,0,0,0,0,1,0,0,0,0,1,0,1,1,0,510270,7,0.137254902,9,0.236,9,0.001,18,0.5811,18,9,0.2556,8,0.0008,4.38,1359.605839,842.9027956,40164,25151,15013,6,8,2,1,0,0,0,0,0,1
slate,An argillaceous rock which readily splits into thin plates; argillite; argillaceous schist.,0,0,0,0,0,0,0,0,1,7,2,4,0,0,3813904,165,3.235294118,180,4.7205,174,0.0193,129,4.1642,129,305,8.6608,298,0.0295,4.58,1211.043478,710.935202,28927,12078,16849,5,9,1,1,0,0,0,0,0,4
liqueur,An aromatic alcoholic cordial.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,584063,28,0.549019608,54,1.4161,53,0.0059,25,0.807,25,142,4.0322,132,0.0131,4.64,1346.144144,956.9314301,19437,23519,-4082,7,9,2,1,0,0,0,0,0,1
peppermint,An aromatic and pungent plant of the genus Mentha (M. piperita) much used in medicine and confectionery.,0,0,0,0,1,0,0,0,0,3,3,3,0,0,1130344,71,1.392156863,154,4.0386,123,0.0137,128,4.1319,125,34,0.9655,31,0.0031,4.43,1089.971311,638.3276788,11851,2807,9044,10,12,3,2,0,0,0,0,0,7
savory,An aromatic labiate plant (Satureia hortensis) much used in cooking; -- also called summer savory.,0,0,0,0,1,0,0,0,0,7,3,4,2,1,999249,6,0.117647059,170,4.4582,162,0.018,78,2.5179,78,324,9.2003,315,0.0312,2.36,1286.871951,816.0145716,29576,14797,14779,6,12,3,2,1,0,1,0,2486,3
lavender,An aromatic plant of the genus Lavandula (L. vera) common in the south of Europe. It yields and oil used in medicine and perfumery. The Spike lavender (L. Spica) yields a coarser oil (oil of spike) used in the arts.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,4526547,94,1.843137255,378,9.913,322,0.0358,114,3.68,111,193,5.4804,169,0.0167,4.52,1112.576132,538.0314491,15973,7310,8663,8,10,3,1,0,0,0,0,0,1
balm,An aromatic plant of the genus Melissa.,0,0,0,0,1,0,0,0,0,2,1,2,2,0,1851587,28,0.549019608,155,4.0648,129,0.0143,59,1.9046,55,46,1.3062,43,0.0043,3.68,1321.639024,1076.090116,24077,12100,11977,4,7,1,1,0,0,0,0,0,7
parsley,An aromatic umbelliferous herb (Carum Petroselinum) having finely divided leaves which are used in cookery and as a garnish.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,1377594,43,0.843137255,317,8.3133,300,0.0334,50,1.614,48,263,7.4681,256,0.0253,4.77,1282.315476,740.7495729,27669,12182,15487,7,9,2,1,0,0,0,0,0,1
quarrel,An arrow for a crossbow; -- so named because it commonly had a square head.,0,0,0,0,1,0,0,0,0,3,1,2,1,0,584822,172,3.37254902,39,1.0228,38,0.0042,20,0.6456,19,23,0.6531,22,0.0022,3.32,1149.165179,633.5815303,23140,6691,16449,7,10,2,1,0,0,0,0,0,2
vest,An article of clothing covering the person; an outer garment; a vestment; a dress; a vesture; a robe.,0,0,0,0,1,0,0,0,0,7,2,2,1,1,3719017,284,5.568627451,214,5.6121,192,0.0214,145,4.6807,144,154,4.373,153,0.0151,4.52,1175.189189,762.528344,16090,7642,8448,4,7,1,1,0,0,0,0,0,9
apron,An article of dress of cloth leather or other stuff worn on the fore part of the body to keep the clothes clean to defend them from injury or as a covering. It is commonly tied at the waist by strings.,0,0,0,0,1,0,0,0,0,4,1,4,0,0,1617357,136,2.666666667,168,4.4058,148,0.0165,38,1.2267,37,47,1.3346,43,0.0043,4.87,1045.189655,569.7586688,27476,1935,25541,5,10,2,1,0,0,0,0,0,1
sausage,An article of food consisting of meat (esp. pork) minced and highly seasoned and inclosed in a cylindrical case or skin usually made of the prepared intestine of some animal.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,2910814,397,7.784313725,547,14.345,450,0.05,522,16.8506,507,561,15.9301,509,0.0504,4.88,1023.656388,447.4546459,5736,5792,-56,7,10,2,1,0,0,0,0,0,1
pie,An article of food consisting of paste baked with something in it or under it.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,9681219,1465,28.7254902,1510,39.5995,1147,0.1275,1323,42.7075,1232,977,27.7428,813,0.0805,4.92,962.7437186,540.8199906,2962,1674,1288,3,7,1,1,0,0,0,0,0,3
movable,An article of wares or goods; a commodity; a piece of property not fixed or not a part of real estate; generally in the plural goods; wares; furniture.,0,0,0,0,1,0,0,0,0,3,1,1,0,0,3710553,15,0.294117647,26,0.6818,25,0.0028,12,0.3874,12,34,0.9655,34,0.0034,3.17,1201.732759,784.087816,9813,17017,-7204,7,12,3,2,1,0,4,0,872,17
consonant,An articulate sound which in utterance is usually combined and sounded with an open sound called a vowel; a member of the spoken alphabet other than a vowel; also a letter or character representing such a sound.,0,0,0,0,1,0,0,0,0,4,2,2,1,1,602690,6,0.117647059,21,0.5507,17,0.0019,2,0.0646,2,2,0.0568,2,0.0002,3.21,1303.517699,765.9739608,21868,23976,-2108,9,12,3,3,1,2,3,370,464,46
ruse,An artifice; trick; stratagem; wile; fraud; deceit.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,416853,85,1.666666667,30,0.7867,30,0.0033,11,0.3551,11,42,1.1926,42,0.0042,1.57,1180.57037,635.4865869,40549,23218,17331,4,7,1,1,0,0,0,0,0,1
brazier,An artificer who works in brass.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,202480,1,0.019607843,10,0.2622,10,0.0011,1,0.0323,1,3,0.0852,3,0.0003,3.87,1426.425926,903.8492266,40429,31589,8840,7,11,2,1,0,0,0,0,0,1
carpenter,An artificer who works in timber; a framer and builder of houses ships etc.,0,0,0,0,1,0,0,0,0,2,0,1,0,0,4870735,167,3.274509804,163,4.2746,135,0.015,104,3.3572,102,779,22.1204,672,0.0665,4.41,1039.698745,552.5890867,8343,6572,1771,9,11,3,1,0,0,0,0,0,2
locksmith,An artificer whose occupation is to make or mend locks.,0,0,0,0,1,0,0,0,0,1,0,1,0,0,577318,52,1.019607843,6,0.1573,6,0.0007,59,1.9046,51,12,0.3408,11,0.0011,4.54,1200.569767,842.7959322,24471,13029,11442,9,10,2,2,0,0,0,0,0,33
aquarium,An artificial pond or a globe or tank (usually with glass sides) in which living specimens of aquatic animals or plants are kept.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,5327865,140,2.745098039,127,3.3306,102,0.0113,109,3.5186,104,312,8.8595,279,0.0276,4.77,1014.928854,545.4497224,3495,7962,-4467,8,14,4,2,1,0,3,0,39,13
denture,An artificial tooth block or set of teeth.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,386154,9,0.176470588,2,0.0524,2,0.0002,9,0.2905,9,8,0.2272,7,0.0007,4.7,1338.410072,950.7738558,34649,16292,18357,7,10,2,2,1,0,3,0,98,9
goldsmith,An artisan who manufactures vessels and ornaments etc. of gold.,0,0,0,0,1,0,0,0,0,2,2,1,0,0,1197840,15,0.294117647,39,1.0228,30,0.0033,27,0.8716,27,87,2.4704,78,0.0077,4.73,1294.390476,847.3191046,20366,14083,6283,9,13,2,2,0,0,0,0,0,17
aseptic,An aseptic substance.,0,0,0,0,1,0,0,0,0,1,1,0,0,0,275138,2,0.039215686,1,0.0262,1,0.0001,0,0,0,1,0.0284,1,0.0001,2.07,1597.833333,1102.521805,26928,36834,-9906,7,10,3,2,0,1,0,309,0,5
donkey,An ass; or (less frequently) a mule.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,2819753,222,4.352941176,210,5.5072,173,0.0192,180,5.8105,172,43,1.221,39,0.0039,5,950.9037657,432.0676825,3691,2078,1613,6,8,2,1,0,0,0,0,0,2
assassinate,An assassination murder or murderous assault.,0,0,0,0,1,0,0,0,0,2,0,2,0,0,308774,89,1.745098039,51,1.3375,51,0.0057,16,0.5165,16,27,0.7667,27,0.0027,3,1454.88755,953.922625,10653,17166,-6513,11,14,4,2,1,0,3,0,937,3
ribbing,An assemblage or arrangement of ribs as the timberwork for the support of an arch or coved ceiling the veins in the leaves of some plants ridges in the fabric of cloth or the like.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,153080,6,0.117647059,24,0.6294,24,0.0027,6,0.1937,6,27,0.7667,27,0.0027,3.39,1666.288889,1248.140712,39328,22867,16461,7,8,2,1,0,0,0,0,0,2
auditory,An assembly of hearers; an audience.,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1706299,27,0.529411765,61,1.5997,60,0.0067,18,0.5811,18,14,0.3975,13,0.0013,3.07,1150.468,562.3883959,7177,9662,-2485,8,12,4,2,1,0,3,0,356,14
masquerade,An assembly of persons wearing masks and amusing themselves with dancing conversation or other diversions.,0,0,0,0,1,0,0,0,0,5,2,3,1,0,1202457,51,1,40,1.049,40,0.0044,42,1.3558,42,24,0.6815,21,0.0021,3.35,1213.256637,823.2393553,19422,6651,12771,10,15,3,1,0,0,0,0,0,2
senate,An assembly or council having the highest deliberative and legislative functions.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,34302775,331,6.490196078,551,14.4499,483,0.0537,714,23.0485,690,6273,178.1275,5653,0.5596,3.81,1166.375,711.3151297,16773,14625,2148,6,8,2,1,0,0,0,0,0,3
guild,An association of men belonging to the same class or engaged in kindred pursuits formed for mutual aid and protection; a business fraternity or corporation.,0,0,0,0,0,0,0,0,1,1,1,1,1,0,7923630,100,1.960784314,373,9.7819,299,0.0332,137,4.4225,132,218,6.1903,195,0.0193,2.96,1210.463054,712.5826145,16123,8752,7371,5,7,1,1,0,0,0,0,0,2
astronomer,An astrologer.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,813549,36,0.705882353,41,1.0752,41,0.0046,5,0.1614,5,27,0.7667,26,0.0026,4.27,1425.259615,954.363642,12884,15208,-2324,10,12,4,3,1,0,2,0,2274,56
onslaught,An attack; an onset; esp. a furious or murderous attack or assault.,0,0,0,0,1,0,0,0,0,3,2,3,1,0,775336,17,0.333333333,111,2.911,111,0.0123,33,1.0653,32,81,2.3001,81,0.008,2.35,1264.198718,787.9952384,35439,17432,18007,9,10,2,1,0,0,0,0,0,1
deceit,An attempt or disposition to deceive or lead into error; any declaration artifice or practice which misleads another or causes him to believe what is false; a contrivance to entrap; deception; a wily device; fraud.,0,0,0,0,1,0,0,0,0,3,3,3,2,0,789420,72,1.411764706,84,2.2029,82,0.0091,17,0.5488,17,41,1.1642,41,0.0041,2.37,1143.671875,756.4700566,35146,15230,19916,6,9,2,1,0,0,0,0,0,4
henchman,An attendant; a servant; a follower. Now chiefly used as a political cant term.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,136892,16,0.31372549,17,0.4458,14,0.0016,2,0.0646,2,10,0.284,10,0.001,4.08,1309.133333,893.3467328,39980,20039,19941,8,12,2,2,0,0,0,0,0,213
lackey,An attending male servant; a footman; a servile follower.,0,0,0,0,0,0,0,0,1,2,2,2,1,0,426050,33,0.647058824,25,0.6556,23,0.0026,42,1.3558,42,10,0.284,10,0.001,3.26,1144.252336,600.5390361,42817,31920,10897,6,7,2,1,0,0,0,0,0,1
terrier,An auger or borer.,0,0,0,0,1,0,0,0,0,1,0,1,1,0,4448988,49,0.960784314,62,1.6259,60,0.0067,41,1.3235,40,64,1.8173,62,0.0061,4.62,1292.707547,723.795577,19815,18846,969,7,8,3,1,0,0,0,0,0,1
fiat,An authoritative command or order to do something; an effectual decree.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,3329725,6,0.117647059,46,1.2063,42,0.0047,65,2.0983,64,350,9.9386,275,0.0272,3.57,1515.327869,917.6539477,41620,34851,6769,4,8,2,1,0,0,0,0,0,1
veto,An authoritative prohibition or negative; a forbidding; an interdiction.,0,0,0,0,1,0,0,0,0,4,2,2,1,1,1621850,33,0.647058824,93,2.4389,81,0.009,56,1.8077,54,483,13.7152,465,0.046,2.93,1140.391304,729.2557754,18520,21525,-3005,4,10,2,1,0,0,0,0,0,2
bumpkin,An awkward heavy country fellow; a clown; a country lout.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,68752,19,0.37254902,7,0.1836,7,0.0008,4,0.1291,4,4,0.1136,4,0.0004,3.42,1612.722222,1080.553617,51834,33324,18510,7,10,2,1,0,0,0,0,0,1
greed,An eager desire or longing; greediness.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,1997460,244,4.784313725,318,8.3395,304,0.0338,144,4.6484,142,174,4.9409,172,0.017,1.53,1137.116162,835.8307103,12453,4972,7481,5,8,1,1,0,0,0,0,0,6
longing,An eager desire; a craving; a morbid appetite; an earnest wish; an aspiration.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1264187,78,1.529411765,362,9.4934,345,0.0384,54,1.7432,53,67,1.9025,67,0.0066,2.14,1310.596413,833.0929609,18923,3487,15436,7,8,2,1,0,0,0,0,0,39
primrose,An early flowering plant of the genus Primula (P. vulgaris) closely allied to the cowslip. There are several varieties as the white- the red- the yellow-flowered etc. Formerly called also primerole primerolles.,1,0,0,0,0,0,0,0,0,1,1,1,1,0,965703,11,0.215686275,44,1.1539,41,0.0046,5,0.1614,5,20,0.5679,19,0.0019,4.08,1502.203593,937.912695,38182,21928,16254,8,12,2,1,0,0,0,0,0,1
catty,An East Indian Weight of 1 1/3 pounds.,0,0,0,0,1,0,0,0,0,2,1,1,0,0,107679,10,0.196078431,24,0.6294,23,0.0026,19,0.6133,19,9,0.2556,9,0.0009,1.9,1669.1875,1176.724457,46157,27988,18169,5,7,2,2,1,0,1,0,2486,23
negligee,An easy unceremonious attire; undress; also a kind of easy robe or dressing gown worn by women.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,48986,37,0.725490196,6,0.1573,5,0.0006,2,0.0646,2,1,0.0284,1,0.0001,4.48,1795.961538,1201.75566,31264,40537,-9273,8,13,3,2,1,0,2,0,48,6
euthanasia,An easy death; a mode of dying to be desired.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,944845,23,0.450980392,68,1.7833,53,0.0059,8,0.2582,8,28,0.7951,27,0.0027,3.08,1281.118943,817.5358935,13143,18495,-5352,10,17,4,1,0,0,0,0,0,1
chaplain,An ecclesiastic who has a chapel or who performs religious service in a chapel.,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1252671,101,1.980392157,39,1.0228,37,0.0041,11,0.3551,11,118,3.3507,115,0.0114,4.33,1427.733333,1048.172199,40739,24177,16562,8,11,2,1,0,0,0,0,0,2
whirlpool,An eddy or vortex of water; a place in a body of water where the water moves round in a circle so as to produce a depression or cavity in the center into which floating objects may be drawn; any body of water having a more or less circular motion caused by its flowing in an irregular channel by the coming together of opposing currents or the like.,0,0,0,0,1,0,0,0,0,2,1,1,1,0,4201491,31,0.607843137,33,0.8654,32,0.0036,19,0.6133,19,50,1.4198,46,0.0046,4.64,1145.145299,800.4636936,10637,7965,2672,9,11,2,2,0,0,0,0,0,7
mushroom,An edible fungus (Agaricus campestris) having a white stalk which bears a convex or oven flattish expanded portion called the pileus. This is whitish and silky or somewhat scaly above and bears on the under side radiating gills which are at first flesh-colored but gradually become brown. The plant grows in rich pastures and is proverbial for rapidity of growth and shortness of duration. It has a pleasant smell and is largely used as food. It is also cultivated from spawn.,0,0,0,0,1,0,0,0,0,6,1,5,1,1,3277331,107,2.098039216,369,9.677,314,0.0349,197,6.3593,193,296,8.4052,276,0.0273,4.83,969.6521739,507.9020901,3559,88,3471,8,10,2,1,0,0,0,0,0,1
embargo,An edict or order of the government prohibiting the departure of ships of commerce from some or all of the ports within its dominions; a prohibition to sail.,0,0,0,0,1,0,0,0,0,3,1,1,0,0,1125637,24,0.470588235,55,1.4424,48,0.0053,20,0.6456,19,64,1.8173,63,0.0062,3,1097.528796,559.1031144,20819,16760,4059,7,12,3,1,0,0,0,0,0,1
labyrinth,An edifice or place full of intricate passageways which render it difficult to find the way from the interior to the entrance.,0,0,0,0,1,0,0,0,0,2,2,2,0,0,1540575,41,0.803921569,114,2.9896,106,0.0118,33,1.0653,32,46,1.3062,43,0.0043,4.22,1183.211982,841.8436839,13030,18488,-5458,9,12,3,1,0,0,0,0,0,2
heave,An effort to raise something as a weight or one's self or to move something heavy.,0,0,0,0,1,0,0,0,0,14,5,6,2,0,296454,179,3.509803922,59,1.5473,56,0.0062,14,0.4519,14,36,1.0223,36,0.0036,3.67,1316.48366,763.9614304,33542,10698,22844,5,7,1,1,0,0,0,0,0,2
springboard,An elastic board secured at the ends or at one end often by elastic supports used in performing feats of agility or in exercising.,0,0,0,0,1,0,0,0,0,2,1,2,1,0,547972,4,0.078431373,37,0.9703,36,0.004,17,0.5488,17,71,2.0161,69,0.0068,4.24,1461.526042,975.7968575,20983,3120,17863,11,12,2,2,0,0,0,0,0,71
elastic,An elastic woven fabric as a belt braces or suspenders etc. made in part of India rubber.,0,0,0,0,1,0,0,0,0,4,1,2,0,1,4265135,30,0.588235294,292,7.6576,213,0.0237,23,0.7425,22,52,1.4766,50,0.0049,3.73,953.1762295,467.8957862,3223,4345,-1122,7,11,3,1,0,0,0,0,0,3
uranium,An element of the chromium group found in certain rare minerals as pitchblende uranite etc. and reduced as a heavy hard nickel-white metal which is quite permanent. Its yellow oxide is used to impart to glass a delicate greenish-yellow tint which is accompanied by a strong fluorescence and its black oxide is used as a pigment in porcelain painting. Symbol U. Atomic weight 239.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,3471336,109,2.137254902,95,2.4914,72,0.008,16,0.5165,15,121,3.4359,103,0.0102,4.29,1116.497854,646.3737184,4539,13337,-8798,7,15,4,1,0,0,0,0,0,1
syllable,An elementary sound or a combination of elementary sounds uttered together or with a single effort or impulse of the voice and constituting a word or a part of a word. In other terms it is a vowel or a diphtong either by itself or flanked by one or more consonants the whole produced by a single impulse or utterance. One of the liquids l m n may fill the place of a vowel in a syllable. Adjoining syllables in a word or phrase need not to be marked off by a pause,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1078225,42,0.823529412,56,1.4686,50,0.0056,30,0.9684,30,9,0.2556,9,0.0009,3.26,1234.884259,763.3100809,13948,8699,5249,8,11,3,2,1,0,2,0,5,19
nasal,An elementary sound which is uttered through the nose or through both the nose and the mouth simultaneously.,0,0,0,0,1,0,0,0,0,4,2,2,0,0,2536094,106,2.078431373,59,1.5473,57,0.0063,39,1.259,36,65,1.8457,57,0.0056,3.83,1059.978166,614.565889,15967,8270,7697,5,11,2,1,0,0,0,0,0,5
titanium,An elementary substance found combined in the minerals manaccanite rutile sphene etc. and isolated as an infusible iron-gray amorphous powder having a metallic luster. It burns when heated in the air. Symbol Ti. Atomic weight 48.1.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,6437241,80,1.568627451,51,1.3375,45,0.005,41,1.3235,41,53,1.505,50,0.0049,4.67,1073.699588,593.0304755,3626,6677,-3051,8,16,4,1,0,0,0,0,0,1
calcium,An elementary substance; a metal which combined with oxygen forms lime. It is of a pale yellow color tenacious and malleable. It is a member of the alkaline earth group of elements. Atomic weight 40. Symbol Ca.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,9382761,90,1.764705882,180,4.7205,142,0.0158,40,1.2912,40,215,6.1051,193,0.0191,4.07,974.7037037,484.5876041,5535,2258,3277,7,11,3,2,1,0,3,0,39,3
pulpit,An elevated place or inclosed stage in a church in which the clergyman stands while preaching.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,824005,31,0.607843137,68,1.7833,65,0.0072,21,0.6779,21,120,3.4075,110,0.0109,4.14,1406.994012,1020.735457,34978,24974,10004,6,9,2,1,0,0,0,0,0,1
eel,An elongated fish of many genera and species. The common eels of Europe and America belong to the genus Anguilla. The electrical eel is a species of Gymnotus. The so called vinegar eel is a minute nematode worm.,0,0,0,0,1,0,0,0,0,2,0,2,2,0,956144,72,1.411764706,45,1.1801,38,0.0042,37,1.1944,35,52,1.4766,49,0.0049,4.69,1140.876344,792.9615381,26958,18359,8599,3,6,1,1,0,0,0,0,0,1
porthole,An embrasure in a ship's side.,0,0,0,0,1,0,0,0,0,2,1,2,0,0,168817,26,0.509803922,8,0.2098,8,0.0009,1,0.0323,1,14,0.3975,13,0.0013,4.31,1613.179012,1160.951954,36885,23278,13607,8,12,2,2,0,0,0,0,0,66
turkey,An empire in the southeast of Europe and southwest of Asia.,0,0,0,0,1,0,0,0,0,5,4,4,1,0,28112986,935,18.33333333,1170,30.683,972,0.1081,1077,34.7664,1035,1211,34.3874,1037,0.1026,4.89,1033.816239,620.9156851,2028,6726,-4698,6,8,2,1,0,0,0,0,0,1
void,An empty space; a vacuum.,0,0,0,0,1,0,0,0,0,8,2,2,1,2,32491126,169,3.31372549,400,10.4899,367,0.0408,140,4.5193,138,284,8.0644,277,0.0274,2.62,1125.764957,670.4528035,14688,7865,6823,4,8,1,1,0,0,0,0,0,1
affront,An encounter either friendly or hostile.,0,0,0,0,1,0,0,0,0,2,1,1,1,0,224833,30,0.588235294,49,1.285,48,0.0053,7,0.226,7,36,1.0223,36,0.0036,1.83,1308.713415,773.0627937,31089,24620,6469,7,9,2,2,0,1,0,309,0,17
catapult,An engine somewhat resembling a massive crossbow used by the ancient Greeks and Romans for throwing stones arrows spears etc.,0,0,0,0,1,0,0,0,0,5,3,3,0,0,465752,31,0.607843137,24,0.6294,24,0.0027,12,0.3874,12,20,0.5679,20,0.002,4.43,1145.549107,622.2307311,11249,16164,-4915,8,12,3,1,0,0,0,0,0,1
sixpence,An English silver coin of the value of six pennies; half a shilling or about twelve cents.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,287148,31,0.607843137,19,0.4983,18,0.002,3,0.0968,3,1,0.0284,1,0.0001,4.45,1471.242857,987.913475,39420,28740,10680,8,11,2,2,0,0,0,0,0,23
conscription,An enrolling or registering.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,244088,9,0.176470588,14,0.3671,14,0.0016,1,0.0323,1,1,0.0284,1,0.0001,2.16,1458.238372,834.6549493,30795,30199,596,12,14,3,3,1,2,3,370,1599,42
streamer,An ensign flag or pennant which floats in the wind; specifically a long narrow ribbonlike flag.,0,0,0,0,1,0,0,0,0,4,3,4,1,0,432893,1,0.019607843,12,0.3147,12,0.0013,5,0.1614,5,3,0.0852,3,0.0003,4.12,1141.967611,600.1294432,11735,8820,2915,8,10,2,2,1,0,2,0,2274,11
epic,An epic or heroic poem.,0,0,0,0,1,0,0,0,0,3,1,1,1,0,6457720,74,1.450980392,873,22.8943,820,0.0912,1779,57.4275,1734,467,13.2609,454,0.0449,2.19,955.5268293,462.0338727,3810,3509,301,4,7,2,1,0,0,0,0,0,2
odyssey,An epic poem attributed to Homer which describes the return of Ulysses to Ithaca after the siege of Troy.,0,0,0,0,1,0,0,0,0,2,1,1,0,0,4493747,45,0.882352941,123,3.2257,113,0.0126,67,2.1628,66,132,3.7483,129,0.0128,2.64,1359.898305,1013.936171,15564,10270,5294,7,8,3,1,0,0,0,0,0,1
influenza,An epidemic affection characterized by acute nasal catarrh or by inflammation of the throat or the bronchi and usually accompanied by fever.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,3673978,24,0.470588235,298,7.815,280,0.0311,7,0.226,7,50,1.4198,40,0.004,3.79,1185.825,664.531397,14112,2764,11348,9,14,4,1,0,0,0,0,0,1
mistaking,An error; a mistake.,0,0,0,0,1,0,0,0,0,1,1,1,1,0,205841,39,0.764705882,44,1.1539,44,0.0049,31,1.0007,31,26,0.7383,26,0.0026,2.17,1280.859504,816.2838912,8257,18520,-10263,9,13,3,2,0,3,0,111,0,31
itch,An eruption of small isolated acuminated vesicles produced by the entrance of a parasitic mite (the Sarcoptes scabei) and attended with itching. It is transmissible by contact.,0,0,0,0,1,0,0,0,0,6,3,3,1,0,986466,145,2.843137255,115,3.0159,108,0.012,147,4.7453,140,54,1.5334,49,0.0049,3.15,1064.042453,688.8687224,17217,138,17079,4,7,1,1,0,0,0,0,0,5
herpes,An eruption of the skin taking various names according to its form or the part affected; especially an eruption of vesicles in small distinct clusters accompanied with itching or tingling including shingles ringworm and the like; -- so called from its tendency to creep or spread from one part of the skin to another.,0,0,0,0,1,0,0,0,0,2,1,2,2,0,3273130,65,1.274509804,41,1.0752,39,0.0043,91,2.9376,87,18,0.5111,14,0.0014,3.88,1166.718062,681.7353312,14502,6505,7997,6,10,2,1,0,0,0,0,0,1
